"DateTime","Aggregate Feed Rates: Proprietary Equities and Commodities"
"2019-04-05 08:26:00",9653
"2019-04-05 08:27:00",20776
"2019-04-05 08:28:00",26636
"2019-04-05 08:29:00",108983
"2019-04-05 08:30:00",106538
"2019-04-05 08:31:00",546219
"2019-04-05 08:32:00",169899
"2019-04-05 08:33:00",162720
"2019-04-05 08:34:00",206452
"2019-04-05 08:35:00",207554
"2019-04-05 08:36:00",356047
"2019-04-05 08:37:00",223506
"2019-04-05 08:38:00",200837
"2019-04-05 08:39:00",190090
"2019-04-05 08:40:00",208039
"2019-04-05 08:41:00",232277
"2019-04-05 08:42:00",201956
"2019-04-05 08:43:00",185762
"2019-04-05 08:44:00",187799
"2019-04-05 08:45:00",184618
"2019-04-05 08:46:00",298919
"2019-04-05 08:47:00",296788
"2019-04-05 08:48:00",352018
"2019-04-05 08:49:00",205260
"2019-04-05 08:50:00",143300
"2019-04-05 08:51:00",201899
"2019-04-05 08:52:00",213561
"2019-04-05 08:53:00",324831
"2019-04-05 08:54:00",242961
"2019-04-05 08:55:00",234207
"2019-04-05 08:56:00",248679
"2019-04-05 08:57:00",230060
"2019-04-05 08:58:00",351828
"2019-04-05 08:59:00",174930
"2019-04-05 09:00:00",179103
"2019-04-05 09:01:00",249941
"2019-04-05 09:02:00",172709
"2019-04-05 09:03:00",184041
"2019-04-05 09:04:00",286953
"2019-04-05 09:05:00",291776
"2019-04-05 09:06:00",178923
"2019-04-05 09:07:00",219441
"2019-04-05 09:08:00",152981
"2019-04-05 09:09:00",247438
"2019-04-05 09:10:00",171540
"2019-04-05 09:11:00",196001
"2019-04-05 09:12:00",208903
"2019-04-05 09:13:00",185833
"2019-04-05 09:14:00",160701
"2019-04-05 09:15:00",310635
"2019-04-05 09:16:00",149651
"2019-04-05 09:17:00",382729
"2019-04-05 09:18:00",224985
"2019-04-05 09:19:00",245237
"2019-04-05 09:20:00",261443
"2019-04-05 09:21:00",203504
"2019-04-05 09:22:00",186580
"2019-04-05 09:23:00",249595
"2019-04-05 09:24:00",189437
"2019-04-05 09:25:00",154126
"2019-04-05 09:26:00",121437
"2019-04-05 09:27:00",152702
"2019-04-05 09:28:00",213899
"2019-04-05 09:29:00",170844
"2019-04-05 09:30:00",193829
"2019-04-05 09:31:00",212847
"2019-04-05 09:32:00",183852
"2019-04-05 09:33:00",209715
"2019-04-05 09:34:00",135690
"2019-04-05 09:35:00",224520
"2019-04-05 09:36:00",140782
"2019-04-05 09:37:00",157163
"2019-04-05 09:38:00",140280
"2019-04-05 09:39:00",302376
"2019-04-05 09:40:00",180073
"2019-04-05 09:41:00",231142
"2019-04-05 09:42:00",124392
"2019-04-05 09:43:00",200623
"2019-04-05 09:44:00",463813
"2019-04-05 09:45:00",186447
"2019-04-05 09:46:00",170003
"2019-04-05 09:47:00",98113
"2019-04-05 09:48:00",155908
"2019-04-05 09:49:00",184858
"2019-04-05 09:50:00",164386
"2019-04-05 09:51:00",154656
"2019-04-05 09:52:00",230572
"2019-04-05 09:53:00",140048
"2019-04-05 09:54:00",134859
"2019-04-05 09:55:00",252940
"2019-04-05 09:56:00",144396
"2019-04-05 09:57:00",277553
"2019-04-05 09:58:00",144329
"2019-04-05 09:59:00",275853
"2019-04-05 10:00:00",202150
"2019-04-05 10:01:00",291290
"2019-04-05 10:02:00",273727
"2019-04-05 10:03:00",145677
"2019-04-05 10:04:00",165973
"2019-04-05 10:05:00",185293
"2019-04-05 10:06:00",169639
"2019-04-05 10:07:00",173138
"2019-04-05 10:08:00",154598
"2019-04-05 10:09:00",323043
"2019-04-05 10:10:00",145864
"2019-04-05 10:11:00",337460
"2019-04-05 10:12:00",195042
"2019-04-05 10:13:00",179828
"2019-04-05 10:14:00",432843
"2019-04-05 10:15:00",173287
"2019-04-05 10:16:00",195880
"2019-04-05 10:17:00",132559
"2019-04-05 10:18:00",132940
"2019-04-05 10:19:00",215643
"2019-04-05 10:20:00",282177
"2019-04-05 10:21:00",159018
"2019-04-05 10:22:00",188018
"2019-04-05 10:23:00",185052
"2019-04-05 10:24:00",152904
"2019-04-05 10:25:00",140448
"2019-04-05 10:26:00",209458
"2019-04-05 10:27:00",174607
"2019-04-05 10:28:00",217339
"2019-04-05 10:29:00",226214
"2019-04-05 10:30:00",197332
"2019-04-05 10:31:00",209745
"2019-04-05 10:32:00",635050
"2019-04-05 10:33:00",130855
"2019-04-05 10:34:00",152005
"2019-04-05 10:35:00",190632
"2019-04-05 10:36:00",181727
"2019-04-05 10:37:00",127738
"2019-04-05 10:38:00",113479
"2019-04-05 10:39:00",197811
"2019-04-05 10:40:00",144995
"2019-04-05 10:41:00",166910
"2019-04-05 10:42:00",177124
"2019-04-05 10:43:00",189893
"2019-04-05 10:44:00",115810
"2019-04-05 10:45:00",140790
"2019-04-05 10:46:00",215826
"2019-04-05 10:47:00",166461
"2019-04-05 10:48:00",190127
"2019-04-05 10:49:00",285474
"2019-04-05 10:50:00",243006
"2019-04-05 10:51:00",414315
"2019-04-05 10:52:00",148644
"2019-04-05 10:53:00",158383
"2019-04-05 10:54:00",127454
"2019-04-05 10:55:00",163984
"2019-04-05 10:56:00",113735
"2019-04-05 10:57:00",211330
"2019-04-05 10:58:00",135203
"2019-04-05 10:59:00",174780
"2019-04-05 11:00:00",147508
"2019-04-05 11:01:00",127838
"2019-04-05 11:02:00",174572
"2019-04-05 11:03:00",111452
"2019-04-05 11:04:00",284915
"2019-04-05 11:05:00",210237
"2019-04-05 11:06:00",152310
"2019-04-05 11:07:00",117853
"2019-04-05 11:08:00",206032
"2019-04-05 11:09:00",183481
"2019-04-05 11:10:00",104991
"2019-04-05 11:11:00",167036
"2019-04-05 11:12:00",139564
"2019-04-05 11:13:00",124031
"2019-04-05 11:14:00",225028
"2019-04-05 11:15:00",131809
