"DateTime","Aggregate Feed Rates: Security Information Processors"
"2019-04-05 08:26:00",747433
"2019-04-05 08:27:00",31249
"2019-04-05 08:28:00",25923
"2019-04-05 08:29:00",232791
"2019-04-05 08:30:00",131318
"2019-04-05 08:31:00",9812977
"2019-04-05 08:32:00",4219319
"2019-04-05 08:33:00",3105377
"2019-04-05 08:34:00",4973830
"2019-04-05 08:35:00",4527581
"2019-04-05 08:36:00",8230653
"2019-04-05 08:37:00",5130375
"2019-04-05 08:38:00",3940291
"2019-04-05 08:39:00",3974619
"2019-04-05 08:40:00",4309925
"2019-04-05 08:41:00",4771358
"2019-04-05 08:42:00",3955991
"2019-04-05 08:43:00",3416422
"2019-04-05 08:44:00",3843296
"2019-04-05 08:45:00",3614893
"2019-04-05 08:46:00",4389972
"2019-04-05 08:47:00",5358061
"2019-04-05 08:48:00",7061898
"2019-04-05 08:49:00",4000646
"2019-04-05 08:50:00",3316830
"2019-04-05 08:51:00",3120653
"2019-04-05 08:52:00",5130146
"2019-04-05 08:53:00",6440731
"2019-04-05 08:54:00",4681557
"2019-04-05 08:55:00",4349932
"2019-04-05 08:56:00",5151620
"2019-04-05 08:57:00",3998413
"2019-04-05 08:58:00",6603669
"2019-04-05 08:59:00",2629008
"2019-04-05 09:00:00",3608711
"2019-04-05 09:01:00",3978509
"2019-04-05 09:02:00",3281137
"2019-04-05 09:03:00",3756876
"2019-04-05 09:04:00",6256235
"2019-04-05 09:05:00",6441150
"2019-04-05 09:06:00",3825833
"2019-04-05 09:07:00",4184379
"2019-04-05 09:08:00",2920084
"2019-04-05 09:09:00",3774937
"2019-04-05 09:10:00",2658827
"2019-04-05 09:11:00",3394120
"2019-04-05 09:12:00",3292467
"2019-04-05 09:13:00",4081522
"2019-04-05 09:14:00",3682482
"2019-04-05 09:15:00",6316745
"2019-04-05 09:16:00",2696194
"2019-04-05 09:17:00",6651900
"2019-04-05 09:18:00",3955840
"2019-04-05 09:19:00",4062534
"2019-04-05 09:20:00",4326726
"2019-04-05 09:21:00",3061335
"2019-04-05 09:22:00",2911517
"2019-04-05 09:23:00",3451711
"2019-04-05 09:24:00",2847896
"2019-04-05 09:25:00",3052540
"2019-04-05 09:26:00",2525924
"2019-04-05 09:27:00",3831105
"2019-04-05 09:28:00",3804048
"2019-04-05 09:29:00",2998629
"2019-04-05 09:30:00",3497337
"2019-04-05 09:31:00",2785402
"2019-04-05 09:32:00",3117427
"2019-04-05 09:33:00",3868680
"2019-04-05 09:34:00",2796016
"2019-04-05 09:35:00",3578935
"2019-04-05 09:36:00",2547168
"2019-04-05 09:37:00",2664316
"2019-04-05 09:38:00",2659165
"2019-04-05 09:39:00",4455494
"2019-04-05 09:40:00",3117377
"2019-04-05 09:41:00",4752825
"2019-04-05 09:42:00",1861106
"2019-04-05 09:43:00",4179156
"2019-04-05 09:44:00",8932718
"2019-04-05 09:45:00",3870744
"2019-04-05 09:46:00",3079663
"2019-04-05 09:47:00",1449831
"2019-04-05 09:48:00",4545345
"2019-04-05 09:49:00",3618866
"2019-04-05 09:50:00",2961668
"2019-04-05 09:51:00",2110665
"2019-04-05 09:52:00",4095578
"2019-04-05 09:53:00",2478814
"2019-04-05 09:54:00",2446839
"2019-04-05 09:55:00",5520384
"2019-04-05 09:56:00",2310296
"2019-04-05 09:57:00",5037562
"2019-04-05 09:58:00",2083497
"2019-04-05 09:59:00",5041721
"2019-04-05 10:00:00",2780139
"2019-04-05 10:01:00",5924915
"2019-04-05 10:02:00",3022308
"2019-04-05 10:03:00",2248477
"2019-04-05 10:04:00",2704560
"2019-04-05 10:05:00",3180159
"2019-04-05 10:06:00",1958480
"2019-04-05 10:07:00",3442347
"2019-04-05 10:08:00",2784095
"2019-04-05 10:09:00",4828895
"2019-04-05 10:10:00",2762004
"2019-04-05 10:11:00",3684729
"2019-04-05 10:12:00",2962494
"2019-04-05 10:13:00",3052262
"2019-04-05 10:14:00",5915517
"2019-04-05 10:15:00",2231353
"2019-04-05 10:16:00",2897452
"2019-04-05 10:17:00",2349912
"2019-04-05 10:18:00",2478945
"2019-04-05 10:19:00",3730601
"2019-04-05 10:20:00",4096777
"2019-04-05 10:21:00",2900435
"2019-04-05 10:22:00",2611989
"2019-04-05 10:23:00",3062660
"2019-04-05 10:24:00",2154682
"2019-04-05 10:25:00",2023439
"2019-04-05 10:26:00",3122306
"2019-04-05 10:27:00",2830546
"2019-04-05 10:28:00",4183155
"2019-04-05 10:29:00",2735248
"2019-04-05 10:30:00",2804586
"2019-04-05 10:31:00",2604153
"2019-04-05 10:32:00",11051081
"2019-04-05 10:33:00",3135925
"2019-04-05 10:34:00",2210779
"2019-04-05 10:35:00",3258583
"2019-04-05 10:36:00",3273088
"2019-04-05 10:37:00",2021170
