"DateTime","Aggregate Feed Rates: Proprietary Equities and Commodities"
"2019-02-19 09:26:00",11291
"2019-02-19 09:27:00",10903
"2019-02-19 09:28:00",26930
"2019-02-19 09:29:00",109008
"2019-02-19 09:30:00",81200
"2019-02-19 09:31:00",927324
"2019-02-19 09:32:00",194384
"2019-02-19 09:33:00",164754
"2019-02-19 09:34:00",166593
"2019-02-19 09:35:00",279389
"2019-02-19 09:36:00",235894
"2019-02-19 09:37:00",174430
"2019-02-19 09:38:00",190664
"2019-02-19 09:39:00",175346
"2019-02-19 09:40:00",202988
"2019-02-19 09:41:00",183903
"2019-02-19 09:42:00",148947
"2019-02-19 09:43:00",237592
"2019-02-19 09:44:00",189684
"2019-02-19 09:45:00",144439
"2019-02-19 09:46:00",394368
"2019-02-19 09:47:00",169706
"2019-02-19 09:48:00",188448
"2019-02-19 09:49:00",139368
"2019-02-19 09:50:00",204524
"2019-02-19 09:51:00",164816
"2019-02-19 09:52:00",262214
"2019-02-19 09:53:00",150377
"2019-02-19 09:54:00",261557
"2019-02-19 09:55:00",148382
"2019-02-19 09:56:00",159099
"2019-02-19 09:57:00",150596
"2019-02-19 09:58:00",190949
"2019-02-19 09:59:00",181149
"2019-02-19 10:00:00",232713
"2019-02-19 10:01:00",248549
"2019-02-19 10:02:00",192186
"2019-02-19 10:03:00",195659
"2019-02-19 10:04:00",167138
"2019-02-19 10:05:00",205922
"2019-02-19 10:06:00",153045
"2019-02-19 10:07:00",173271
"2019-02-19 10:08:00",106211
"2019-02-19 10:09:00",144060
"2019-02-19 10:10:00",171292
"2019-02-19 10:11:00",157177
"2019-02-19 10:12:00",271955
"2019-02-19 10:13:00",175668
"2019-02-19 10:14:00",178483
"2019-02-19 10:15:00",146516
"2019-02-19 10:16:00",166075
"2019-02-19 10:17:00",168928
"2019-02-19 10:18:00",357874
"2019-02-19 10:19:00",135247
"2019-02-19 10:20:00",157514
"2019-02-19 10:21:00",136959
"2019-02-19 10:22:00",233042
"2019-02-19 10:23:00",127138
"2019-02-19 10:24:00",236269
"2019-02-19 10:25:00",126311
"2019-02-19 10:26:00",242052
"2019-02-19 10:27:00",164368
"2019-02-19 10:28:00",215976
"2019-02-19 10:29:00",106072
"2019-02-19 10:30:00",227266
"2019-02-19 10:31:00",208629
"2019-02-19 10:32:00",208802
"2019-02-19 10:33:00",187906
"2019-02-19 10:34:00",184678
"2019-02-19 10:35:00",152057
"2019-02-19 10:36:00",170381
"2019-02-19 10:37:00",238866
"2019-02-19 10:38:00",307083
"2019-02-19 10:39:00",316468
"2019-02-19 10:40:00",137314
"2019-02-19 10:41:00",120092
"2019-02-19 10:42:00",175616
"2019-02-19 10:43:00",159968
"2019-02-19 10:44:00",362142
"2019-02-19 10:45:00",125436
"2019-02-19 10:46:00",167321
"2019-02-19 10:47:00",159013
"2019-02-19 10:48:00",273295
"2019-02-19 10:49:00",167359
"2019-02-19 10:50:00",261158
"2019-02-19 10:51:00",137686
"2019-02-19 10:52:00",125388
"2019-02-19 10:53:00",149005
"2019-02-19 10:54:00",145407
"2019-02-19 10:55:00",211753
"2019-02-19 10:56:00",194544
"2019-02-19 10:57:00",219314
"2019-02-19 10:58:00",146954
"2019-02-19 10:59:00",171267
"2019-02-19 11:00:00",149900
"2019-02-19 11:01:00",311605
"2019-02-19 11:02:00",126782
"2019-02-19 11:03:00",252185
"2019-02-19 11:04:00",207551
"2019-02-19 11:05:00",113729
"2019-02-19 11:06:00",250518
"2019-02-19 11:07:00",268689
"2019-02-19 11:08:00",140926
"2019-02-19 11:09:00",137072
"2019-02-19 11:10:00",150909
"2019-02-19 11:11:00",171985
"2019-02-19 11:12:00",160370
"2019-02-19 11:13:00",272885
"2019-02-19 11:14:00",138093
"2019-02-19 11:15:00",166425
"2019-02-19 11:16:00",159695
"2019-02-19 11:17:00",150713
"2019-02-19 11:18:00",149723
"2019-02-19 11:19:00",124201
"2019-02-19 11:20:00",124902
"2019-02-19 11:21:00",237757
"2019-02-19 11:22:00",114098
"2019-02-19 11:23:00",183585
"2019-02-19 11:24:00",116720
"2019-02-19 11:25:00",168964
"2019-02-19 11:26:00",129605
"2019-02-19 11:27:00",153680
"2019-02-19 11:28:00",172895
"2019-02-19 11:29:00",113708
"2019-02-19 11:30:00",216413
"2019-02-19 11:31:00",229308
"2019-02-19 11:32:00",110195
"2019-02-19 11:33:00",208884
"2019-02-19 11:34:00",110704
"2019-02-19 11:35:00",170708
"2019-02-19 11:36:00",134384
"2019-02-19 11:37:00",285515
"2019-02-19 11:38:00",284799
"2019-02-19 11:39:00",132248
"2019-02-19 11:40:00",117849
"2019-02-19 11:41:00",147567
"2019-02-19 11:42:00",126990
"2019-02-19 11:43:00",164470
"2019-02-19 11:44:00",150138
"2019-02-19 11:45:00",152493
"2019-02-19 11:46:00",250890
"2019-02-19 11:47:00",877731
"2019-02-19 11:48:00",326215
"2019-02-19 11:49:00",412700
"2019-02-19 11:50:00",128011
"2019-02-19 11:51:00",301604
"2019-02-19 11:52:00",280589
"2019-02-19 11:53:00",142237
"2019-02-19 11:54:00",184643
"2019-02-19 11:55:00",148527
"2019-02-19 11:56:00",134359
"2019-02-19 11:57:00",284098
"2019-02-19 11:58:00",124662
"2019-02-19 11:59:00",133462
"2019-02-19 12:00:00",325737
"2019-02-19 12:01:00",165249
"2019-02-19 12:02:00",150315
"2019-02-19 12:03:00",170808
"2019-02-19 12:04:00",116656
"2019-02-19 12:05:00",236981
"2019-02-19 12:06:00",111923
"2019-02-19 12:07:00",138540
"2019-02-19 12:08:00",116009
"2019-02-19 12:09:00",95814
"2019-02-19 12:10:00",161642
"2019-02-19 12:11:00",122541
"2019-02-19 12:12:00",132938
"2019-02-19 12:13:00",109652
"2019-02-19 12:14:00",222299
"2019-02-19 12:15:00",180094
"2019-02-19 12:16:00",186344
"2019-02-19 12:17:00",121980
"2019-02-19 12:18:00",104455
"2019-02-19 12:19:00",128944
"2019-02-19 12:20:00",140633
"2019-02-19 12:21:00",165107
"2019-02-19 12:22:00",116829
"2019-02-19 12:23:00",181056
"2019-02-19 12:24:00",94777
"2019-02-19 12:25:00",151151
"2019-02-19 12:26:00",127504
"2019-02-19 12:27:00",135518
"2019-02-19 12:28:00",163426
"2019-02-19 12:29:00",142886
"2019-02-19 12:30:00",214307
"2019-02-19 12:31:00",156816
"2019-02-19 12:32:00",118061
"2019-02-19 12:33:00",162359
"2019-02-19 12:34:00",159923
"2019-02-19 12:35:00",164122
"2019-02-19 12:36:00",113536
"2019-02-19 12:37:00",132459
"2019-02-19 12:38:00",129678
"2019-02-19 12:39:00",97563
"2019-02-19 12:40:00",123058
"2019-02-19 12:41:00",126028
"2019-02-19 12:42:00",113615
"2019-02-19 12:43:00",94831
"2019-02-19 12:44:00",102738
"2019-02-19 12:45:00",122110
"2019-02-19 12:46:00",128244
"2019-02-19 12:47:00",89024
"2019-02-19 12:48:00",148429
"2019-02-19 12:49:00",113113
"2019-02-19 12:50:00",102638
"2019-02-19 12:51:00",192030
"2019-02-19 12:52:00",198223
"2019-02-19 12:53:00",142952
"2019-02-19 12:54:00",141636
"2019-02-19 12:55:00",121840
"2019-02-19 12:56:00",243568
"2019-02-19 12:57:00",166205
"2019-02-19 12:58:00",125528
"2019-02-19 12:59:00",94476
"2019-02-19 13:00:00",145361
"2019-02-19 13:01:00",171334
"2019-02-19 13:02:00",138629
"2019-02-19 13:03:00",172626
"2019-02-19 13:04:00",124887
"2019-02-19 13:05:00",103335
"2019-02-19 13:06:00",84141
"2019-02-19 13:07:00",86517
"2019-02-19 13:08:00",104066
"2019-02-19 13:09:00",128711
"2019-02-19 13:10:00",78968
"2019-02-19 13:11:00",110892
"2019-02-19 13:12:00",83125
"2019-02-19 13:13:00",83911
"2019-02-19 13:14:00",95417
"2019-02-19 13:15:00",118404
"2019-02-19 13:16:00",70694
"2019-02-19 13:17:00",155130
"2019-02-19 13:18:00",168896
"2019-02-19 13:19:00",96496
"2019-02-19 13:20:00",82178
"2019-02-19 13:21:00",103693
"2019-02-19 13:22:00",71988
"2019-02-19 13:23:00",103183
"2019-02-19 13:24:00",105328
"2019-02-19 13:25:00",167157
"2019-02-19 13:26:00",138607
"2019-02-19 13:27:00",147547
"2019-02-19 13:28:00",86576
"2019-02-19 13:29:00",104793
"2019-02-19 13:30:00",174049
"2019-02-19 13:31:00",109217
"2019-02-19 13:32:00",93330
"2019-02-19 13:33:00",123950
"2019-02-19 13:34:00",221963
"2019-02-19 13:35:00",144073
"2019-02-19 13:36:00",129757
"2019-02-19 13:37:00",173283
"2019-02-19 13:38:00",114362
"2019-02-19 13:39:00",150679
