"DateTime","Aggregate Feed Rates: Security Information Processors"
"2019-02-19 09:26:00",1756354
"2019-02-19 09:27:00",33764
"2019-02-19 09:28:00",41256
"2019-02-19 09:29:00",253688
"2019-02-19 09:30:00",217579
"2019-02-19 09:31:00",9546411
"2019-02-19 09:32:00",3005368
"2019-02-19 09:33:00",3399313
"2019-02-19 09:34:00",3102958
"2019-02-19 09:35:00",4802948
"2019-02-19 09:36:00",4557611
"2019-02-19 09:37:00",3194817
"2019-02-19 09:38:00",3501788
"2019-02-19 09:39:00",2805108
"2019-02-19 09:40:00",3954024
"2019-02-19 09:41:00",3337180
"2019-02-19 09:42:00",2317043
"2019-02-19 09:43:00",3630320
"2019-02-19 09:44:00",2714659
"2019-02-19 09:45:00",2972189
"2019-02-19 09:46:00",3855602
"2019-02-19 09:47:00",2823698
"2019-02-19 09:48:00",3181334
"2019-02-19 09:49:00",2522733
"2019-02-19 09:50:00",3045511
"2019-02-19 09:51:00",2946205
"2019-02-19 09:52:00",5602941
"2019-02-19 09:53:00",2369149
"2019-02-19 09:54:00",4625859
"2019-02-19 09:55:00",2320661
"2019-02-19 09:56:00",2787693
"2019-02-19 09:57:00",2203903
"2019-02-19 09:58:00",2803074
"2019-02-19 09:59:00",3321182
"2019-02-19 10:00:00",4948005
"2019-02-19 10:01:00",3278439
"2019-02-19 10:02:00",3113539
"2019-02-19 10:03:00",3539019
"2019-02-19 10:04:00",2236513
"2019-02-19 10:05:00",3121385
"2019-02-19 10:06:00",2568968
"2019-02-19 10:07:00",2635534
"2019-02-19 10:08:00",2097785
"2019-02-19 10:09:00",2711217
"2019-02-19 10:10:00",2348151
"2019-02-19 10:11:00",1745427
"2019-02-19 10:12:00",3608730
"2019-02-19 10:13:00",2797907
"2019-02-19 10:14:00",3375585
"2019-02-19 10:15:00",2663616
"2019-02-19 10:16:00",2674605
"2019-02-19 10:17:00",2375640
"2019-02-19 10:18:00",3862108
"2019-02-19 10:19:00",2087257
"2019-02-19 10:20:00",2242160
"2019-02-19 10:21:00",2075211
"2019-02-19 10:22:00",4241408
"2019-02-19 10:23:00",1874401
"2019-02-19 10:24:00",3468544
"2019-02-19 10:25:00",2063112
"2019-02-19 10:26:00",3190115
"2019-02-19 10:27:00",2692437
"2019-02-19 10:28:00",3440068
"2019-02-19 10:29:00",1887276
"2019-02-19 10:30:00",3040895
"2019-02-19 10:31:00",3390531
"2019-02-19 10:32:00",4239508
"2019-02-19 10:33:00",2946387
"2019-02-19 10:34:00",2981291
"2019-02-19 10:35:00",2242001
"2019-02-19 10:36:00",2841811
"2019-02-19 10:37:00",3951034
"2019-02-19 10:38:00",4974478
"2019-02-19 10:39:00",6052567
"2019-02-19 10:40:00",1938337
"2019-02-19 10:41:00",1970989
"2019-02-19 10:42:00",2284129
"2019-02-19 10:43:00",2356359
"2019-02-19 10:44:00",5931624
"2019-02-19 10:45:00",1816607
"2019-02-19 10:46:00",2359388
"2019-02-19 10:47:00",2228962
"2019-02-19 10:48:00",3853897
"2019-02-19 10:49:00",2320920
"2019-02-19 10:50:00",3872284
"2019-02-19 10:51:00",1852141
"2019-02-19 10:52:00",1759989
"2019-02-19 10:53:00",2556776
"2019-02-19 10:54:00",1728110
"2019-02-19 10:55:00",3277571
"2019-02-19 10:56:00",3221922
"2019-02-19 10:57:00",2444220
"2019-02-19 10:58:00",2017617
"2019-02-19 10:59:00",2288022
"2019-02-19 11:00:00",1636456
"2019-02-19 11:01:00",3334000
"2019-02-19 11:02:00",1882796
"2019-02-19 11:03:00",4381772
"2019-02-19 11:04:00",2044699
"2019-02-19 11:05:00",2151312
"2019-02-19 11:06:00",4504012
"2019-02-19 11:07:00",2943104
"2019-02-19 11:08:00",2084924
"2019-02-19 11:09:00",1765932
"2019-02-19 11:10:00",1700997
"2019-02-19 11:11:00",2890751
"2019-02-19 11:12:00",2399899
"2019-02-19 11:13:00",3248823
"2019-02-19 11:14:00",1558308
"2019-02-19 11:15:00",2415078
"2019-02-19 11:16:00",2748044
"2019-02-19 11:17:00",1744725
"2019-02-19 11:18:00",2261984
"2019-02-19 11:19:00",1795817
"2019-02-19 11:20:00",2586763
"2019-02-19 11:21:00",2975338
"2019-02-19 11:22:00",1981005
"2019-02-19 11:23:00",2050890
